killer,killer_location_x,killer_location_y,victim,victim_location_x,victim_location_y,time,match_id,map_name,weapon_used,cluster_5,kill_place,team_rank,cluster_4
APK_KIMGONI,362304.4688,412718.7813,ENT_Under,362051.2188,413052.4688,2020-05-09T12:44:43.219Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapBerreta686_C,0,21.0,3.0,0
GRF_Asura,372893.1875,403995.6563,DNW_CheongGak,372943.1563,403452.4063,2020-05-09T12:44:43.233Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapHK416_C,0,30.0,12.0,0
T1_Adder,357928.4688,399832.75,WNS_xBellka,358149.4375,399916.9375,2020-05-09T12:44:45.917Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapThompson_C,0,19.0,2.0,0
DNW_Rage,370934.875,405143.4375,GRF_Minsung,372038.75,401165.2813,2020-05-09T12:44:46.541Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapBerylM762_C,0,15.0,15.0,0
FPC_Americano,363718.1563,413252.0625,ENT_indigo,363346.3438,413284.7813,2020-05-09T12:44:48.169Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapM1911_C,0,34.0,14.0,0
WCS_Piky,365110.625,416997.4375,FPC_Cross,365973.3125,416026.1875,2020-05-09T12:44:49.881Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapThompson_C,0,29.0,10.0,0
WCS_Hanya,367531.5625,416732.4688,FPC_YAYAVA,366074.3438,416026.6563,2020-05-09T12:44:50.334Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapBerylM762_C,0,5.0,10.0,0
FPC_miha,360416.6875,412489.3438,ENT_kAyle,358869.4063,411538.875,2020-05-09T12:44:51.331Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapUZI_C,0,35.0,14.0,0
ENT_Seongjang,357836.4688,411213.125,FPC_miha,359997.0313,412179.0625,2020-05-09T12:44:53.736Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapHK416_C,0,12.0,11.0,0
WCS_Hanya,367568.2813,416758.1563,APK_Rain1ng,365792.9063,415913.9063,2020-05-09T12:44:53.993Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,WeapBerylM762_C,0,5.0,10.0,0
GRF_Minsung,372300.7813,401114.5625,DNW_Raeng,371967.3438,401283.5,2020-05-09T12:44:56.215Z,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,PlayerFemale_A_C,0,31.0,12.0,0
