killer,killer_location_x,killer_location_y,victim,victim_location_x,victim_location_y,time,match_id,map_name,weapon_used,cluster_5,cluster_6,kill_place,team_rank,cluster_4
ENT_Seongjang,371243.3438,420957.5,VLG_DAEVA,369583.4063,421391.9063,2020-05-09T12:03:00.669Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapSKS_C,3,0,30.0,15.0,3
WCS_EEND,360553.75,427847.7813,ENT_kAyle,361406.5,427804.7188,2020-05-09T12:03:07.433Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapAK47_C,3,0,27.0,13.0,3
ENT_indigo,371053.4063,423590.7813,STA_Piaz,370905.0313,424364.0625,2020-05-09T12:03:08.761Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapSKS_C,3,0,29.0,15.0,3
FPC_YAYAVA,369323.9063,428919.3438,DWG_DoYa,369440.1563,428747.2813,2020-05-09T12:03:09.353Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapBerylM762_C,3,0,14.0,10.0,3
STA_YunJong,369804.1563,421509.5938,ENT_Seongjang,370860.9063,421156.375,2020-05-09T12:03:10.473Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,31.0,16.0,3
VLG_PLIKHE,366881.7188,423675.375,VSG_Menteul,366806.9063,423706.6563,2020-05-09T12:03:10.585Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,25.0,12.0,3
VSG_WICK2D,368346.0313,424320.3438,ENT_Under,368169.9063,424381.9375,2020-05-09T12:03:11.190Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapMini14_C,3,0,9.0,14.0,3
STA_Jungdong,366823.5,423147.4688,VLG_PLIKHE,366829.8438,423619.0625,2020-05-09T12:03:13.352Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapSKS_C,3,0,32.0,16.0,3
VLG_Hikari,362303.3438,418183.6563,WCS_WaterGun,363235.6875,416646.3438,2020-05-09T12:03:37.587Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapM16A4_C,3,0,15.0,12.0,3
VSG_WICK2D,366946.125,424679.75,STA_Jungdong,366828.4688,423346.3438,2020-05-09T12:05:11.583Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerMale_A_C,3,0,9.0,14.0,3
VSG_Starlord,367666.3438,421523.1875,STA_YunJong,367699.3125,423336.3438,2020-05-09T12:05:11.587Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,28.0,14.0,3
FPC_Cross,367761.75,428641.5,STA_Hwarang,366847.4688,423759.7813,2020-05-09T12:05:11.594Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapAK47_C,3,0,7.0,10.0,3
FPC_Americano,372712.1875,423151.9063,DWG_mickey,371646.0313,422635.7813,2020-05-09T12:06:24.196Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,8.0,10.0,3
FPC_YAYAVA,370784.625,421858.0,VSG_Starlord,369940.0313,422263.2188,2020-05-09T12:06:46.459Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,14.0,10.0,3
FPC_miha,371001.1563,423809.5625,ENT_indigo,371529.5,424117.0,2020-05-09T12:06:51.223Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,13.0,10.0,3
FPC_Cross,370777.75,425972.7813,DWG_Corn,371781.125,424386.75,2020-05-09T12:06:52.413Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapAK47_C,3,0,7.0,10.0,3
LVG_Sparrow,339194.4063,447016.1875,VSG_Hulk,368501.875,421168.625,2020-05-09T12:06:59.139Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerMale_A_C,3,0,6.0,6.0,3
VLG_Spear,363605.1563,416853.625,LVG_ZeniTh,362539.5625,416773.9063,2020-05-09T12:07:24.117Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,24.0,12.0,3
WCS_Piky,361139.2188,417864.2813,LVG_Dowon,362215.4063,415890.0313,2020-05-09T12:07:24.274Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapAK47_C,3,0,26.0,13.0,3
VSG_WICK2D,370344.3438,420982.8438,FPC_YAYAVA,368328.6563,421223.625,2020-05-09T12:07:39.480Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,9.0,14.0,3
FPC_miha,370736.1563,421009.0313,VSG_WICK2D,371683.0,421090.7813,2020-05-09T12:07:51.012Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,13.0,10.0,3
LVG_Sparrow,339114.0313,446890.9375,WCS_EEND,363283.0625,434579.2813,2020-05-09T12:08:46.210Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,6.0,6.0,3
FPC_Americano,366324.875,418206.7813,WCS_Hanya,365887.0,418070.9063,2020-05-09T12:09:18.023Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,8.0,10.0,3
VLG_Hikari,361370.1563,417770.9063,WCS_Piky,360868.2813,417810.5,2020-05-09T12:09:21.375Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,15.0,12.0,3
DNW_CheongGak,371082.0625,366119.625,T1_Rex,371475.0625,366839.1875,2020-05-09T12:09:39.853Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,22.0,9.0,3
DWG_CRIS,370824.5938,417546.1563,FPC_miha,367315.4688,417481.2188,2020-05-09T12:09:39.905Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapAK47_C,3,0,23.0,11.0,3
FPC_Cross,365495.0,416701.0625,VLG_Spear,363920.625,415473.0625,2020-05-09T12:09:47.852Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerMale_A_C,3,0,7.0,10.0,3
LVG_Kali,359959.2813,417651.8438,VLG_Hikari,364057.0313,415905.9063,2020-05-09T12:09:47.857Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,5.0,6.0,3
FPC_Americano,370286.0625,417283.125,DWG_CRIS,370480.4063,416791.9375,2020-05-09T12:10:21.309Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,8.0,10.0,3
APK_Hwan2da,249198.6563,315021.5625,GRF_Minsung,217885.8594,350661.9375,2020-05-09T12:10:40.950Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,4.0,1.0,3
GRF_Minsung,217883.8125,350544.75,APK_NEFiEX,230290.0,340721.9063,2020-05-09T12:10:41.824Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,20.0,4.0,3
LVG_Sparrow,355293.5938,405648.8438,FPC_Americano,368896.3438,417699.8438,2020-05-09T12:10:48.828Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapMini14_C,3,0,6.0,6.0,3
T1_JeffLocka,372241.4063,372694.5625,DNW_CheongGak,368619.0313,373959.1875,2020-05-09T12:10:54.792Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,12.0,5.0,3
T1_Akad,374520.625,368225.4375,DNW_Raeng,372193.5625,369011.6563,2020-05-09T12:10:58.350Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapSCAR-L_C,3,0,11.0,5.0,3
LVG_Kali,365663.5,418525.6563,FPC_Cross,366838.1875,417989.5938,2020-05-09T12:10:59.871Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,5.0,6.0,3
T1_JeffLocka,374410.4375,370614.875,DNW_DG98,374658.5,368511.625,2020-05-09T12:11:36.675Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,12.0,5.0,3
T1_Akad,375396.625,368451.0625,DNW_Rage,374367.1563,356667.75,2020-05-09T12:11:46.649Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapMini14_C,3,0,11.0,5.0,3
LVG_Kali,221431.5156,363870.2813,APK_KIMGONI,214145.3906,353662.8438,2020-05-09T12:16:26.823Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,5.0,6.0,3
GRF_2heart,136931.3281,346020.9063,WNS_FLUX,136370.8594,347294.0,2020-05-09T12:16:57.155Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapFNFal_C,3,0,2.0,4.0,3
GRF_Asura,173605.6406,353252.2188,WNS_xBellka,174328.1563,355222.625,2020-05-09T12:19:48.982Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,3.0,4.0,3
GRF_Asura,173634.0938,353245.5625,WNS_UNnamde,174083.5781,354402.0938,2020-05-09T12:19:51.925Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,3.0,4.0,3
GRF_2heart,174168.6719,353784.9063,WNS_Hyeok,174559.5938,354743.2813,2020-05-09T12:19:51.936Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,2.0,4.0,3
GRF_2heart,180398.75,347510.125,OPGG_Dumbo,194285.0781,348732.7188,2020-05-09T12:21:58.112Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapFNFal_C,3,0,2.0,4.0,3
GRF_Asura,191086.875,338520.0625,OPGG_Silky,192493.3906,338655.9063,2020-05-09T12:22:34.997Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerMale_A_C,3,0,3.0,4.0,3
GRF_Asura,191975.1406,339137.875,OPGG_int,192972.7813,338919.0,2020-05-09T12:22:56.685Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,3.0,4.0,3
GRF_2tap,194448.2344,342147.9063,OPGG_Ayoh,196987.6563,341596.3438,2020-05-09T12:22:56.697Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,19.0,4.0,3
APK_Rain1ng,188944.4219,315498.5625,LVG_Sparrow,206721.8906,309716.6563,2020-05-09T12:24:17.362Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapFNFal_C,3,0,16.0,1.0,3
T1_Adder,188711.7031,299162.0625,LVG_Kali,190325.5156,299263.6563,2020-05-09T12:24:59.948Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,21.0,5.0,3
emT_seoul,166461.7813,317714.625,AF_NN,166965.4375,319884.625,2020-05-09T12:25:22.094Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,17.0,2.0,3
emT_LeClo,175715.9375,319731.0313,T1_JeffLocka,188990.7813,306345.8125,2020-05-09T12:25:59.927Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapMini14_C,3,0,1.0,2.0,3
GRF_Asura,177605.3906,337706.0625,AF_Shadow,168605.1719,326519.0938,2020-05-09T12:27:05.575Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapFNFal_C,3,0,3.0,4.0,3
GRF_2heart,185869.5313,322749.0938,emT_Alphaca,173761.4375,320307.4375,2020-05-09T12:27:11.985Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapFNFal_C,3,0,2.0,4.0,3
emT_LeClo,174073.5625,315353.6563,T1_Adder,184961.3906,308303.9375,2020-05-09T12:27:20.809Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,1.0,2.0,3
emT_LeClo,174075.0313,315355.7813,T1_Akad,183628.5781,308615.6563,2020-05-09T12:27:20.817Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapMini14_C,3,0,1.0,2.0,3
AF_Daengchae,177548.5938,333268.5938,GRF_Asura,178301.8438,337061.5625,2020-05-09T12:27:36.744Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,18.0,3.0,3
GRF_2heart,183316.9688,335720.0625,AF_Daengchae,182478.0156,335361.9063,2020-05-09T12:28:10.047Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,2.0,4.0,3
AF_R0wha,182106.5938,335409.5625,GRF_2tap,183204.2344,336118.9063,2020-05-09T12:28:12.682Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,PlayerFemale_A_C,3,0,10.0,3.0,3
AF_R0wha,182041.5313,335607.9375,GRF_2heart,183264.2813,335416.125,2020-05-09T12:28:12.691Z,f44bc3d8-f763-49e0-82cc-88b16d64d987,Desert_Main,WeapHK416_C,3,0,10.0,3.0,3
