tournament_id,match_id,created_at,map_name,duration,team_rank,team_name,player_id,player_name,time_survived,death_type,kill_place,kills,dbnos,assists,damage_dealt,headshot_kills,longest_kill,road_kills,vehicle_destroys,weapons_acquired,boosts,heals,revives,ride_distance,swim_distance,walk_distance
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,13,KDG,KDG_HngKeon,HNGKEON,1022.472,byplayer,29,1,1,2,86.19523,0,156.946228,0,0,3,3,3,0,2399.14087,0.0,1498.83215
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,16,C9,C9_Wiz,WIZ,906.472,byplayer,77,0,0,0,71.29225,0,0.0,0,0,5,4,6,2,1083.24329,0.0,1730.49329
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,16,C9,C9_Dingception,DINGCEPTION,933.284,byplayer,76,0,0,0,0.0,0,0.0,0,0,4,1,2,0,0.0,0.0,2372.57349
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,16,C9,C9_C4tch,C4TCH,955.708,byplayer,75,0,0,0,31.6849442,0,0.0,0,0,4,4,1,0,1135.215,0.0,1780.78284
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,11,DTN,DTN_ISCO,ISCO,772.208,byplayer,64,0,0,0,0.33107,0,0.0,0,0,2,4,5,0,6032.42041,0.0,958.461548
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,11,DTN,DTN_Hikari,HIKARI,772.869,byplayer,63,0,0,0,0.33107,0,0.0,0,0,4,2,10,0,6493.158,0.0,414.187653
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,11,DTN,DTN_DDoCHI,DDOCHI,766.499,byplayer,65,0,0,0,0.0,0,0.0,0,0,5,3,6,0,5401.17627,0.0,590.465149
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,8,Hunters,Hunters_SexyPIG,SEXYPIG,1219.308,byplayer,54,0,0,0,6.63046455,0,0.0,0,1,3,3,6,0,6732.436,0.0,1150.12817
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,8,Hunters,Hunters_cold,COLD,1230.559,byplayer,15,2,1,1,173.684509,0,154.7483,0,0,5,4,3,0,167.517441,0.0,1939.9624
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,8,Hunters,Hunters_Giken,GIKEN,1217.451,byplayer,16,2,0,0,141.106384,0,103.037155,0,1,8,6,1,0,6266.95752,0.0,1042.85986
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,8,Hunters,Hunters_BNeck,BNECK,1218.235,byplayer,55,0,0,1,37.90738,0,0.0,0,0,3,5,3,1,5907.16943,0.0,1191.132
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,6,EntusA,EntusA_Temeria,TEMERIA,1437.953,byplayer,24,1,3,3,265.1151,1,3.52085328,0,0,5,3,6,0,1295.91687,0.0,1540.26514
kr-pkl18,6188d175-54fa-4d0d-a1d9-932b2fac23ab,2018-10-01T09:13:33Z,Miramar,1753,6,EntusA,EntusA_CRISTIS,CRISTIS,1459.963,byplayer,1,4,3,2,463.6801,1,270.040924,0,0,4,4,4,1,591.2814,0.0,2103.98853
