tournament_id,match_id,created_at,map_name,duration,team_rank,team_name,player_id,player_name,time_survived,death_type,kill_place,kills,dbnos,assists,damage_dealt,headshot_kills,longest_kill,road_kills,vehicle_destroys,weapons_acquired,boosts,heals,revives,ride_distance,swim_distance,walk_distance
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,16,OZ,OZ_SUNGHAK,SUNGHAK,642.675,byplayer,76,0,0,0,180.54726,0,0.0,0,0,4,0,1,0,3358.9797,0.0,859.93555
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,9,GRF,GRF_Asura,ASURA,865.249,suicide,57,0,0,0,41.80732,0,0.0,0,1,4,2,6,0,8942.744,0.0,353.00595
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,16,OZ,OZ_ELCA,ELCA,625.693,byplayer,77,0,0,0,0.0,0,0.0,0,0,7,1,0,0,2819.9312,0.0,646.6777
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,16,OZ,OZ_KaXha,KAXHA,623.216,byplayer,31,1,1,0,177.48999,0,141.14714,0,0,4,0,1,0,3301.2341,0.0,706.6792
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,16,OZ,OZ_MISO,MISO,621.454,byplayer,78,0,0,0,0.0,0,0.0,0,0,5,0,0,0,3315.4128,0.0,554.48883
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,12,KP,KP_Rozar,ROZAR,959.727,byplayer,28,1,1,0,136.33423,0,28.384958,0,0,3,3,5,0,10695.324,0.0,632.47797
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,12,KP,KP_kimseongtae,KIMSEONGTAE,959.725,byplayer,66,0,0,0,0.0,0,0.0,0,0,4,3,4,0,10742.724,0.0,587.65076
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,12,KP,KP_BBABBO,BBABBO,973.794,byplayer,65,0,0,0,0.0,0,0.0,0,0,3,3,6,0,11146.315,0.0,615.60065
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,12,KP,KP_JxNa,JXNA,530.071,byplayer,67,0,0,0,0.0,0,0.0,0,0,3,0,0,0,6754.6167,0.0,214.45802
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,3,LK,LK_Piaz,PIAZ,1438.33,byplayer,11,2,2,3,360.08237,0,175.94385,0,0,5,4,2,1,6189.98,0.0,1091.2529
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,3,LK,LK_HoruzzU,HORUZZU,1438.332,byplayer,19,1,1,2,240.68616,0,187.57066,0,0,6,7,1,1,5887.575,0.0,1349.3785
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,3,LK,LK_Aura,AURA,1438.327,byplayer,47,0,0,2,81.38495,0,0.0,0,0,3,9,2,0,5446.491,0.0,1665.7588
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,3,LK,LK_Madcow,MADCOW,1146.163,byplayer,48,0,0,0,0.0,0,0.0,0,0,6,3,0,0,5132.1567,0.0,1599.1626
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,11,QDR,QDR_Dlaks,DLAKS,1056.428,byplayer,63,0,0,1,60.885002,0,0.0,0,0,3,2,1,0,5023.43,0.0,1262.4583
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,11,QDR,QDR_yacha,YACHA,796.091,byplayer,27,1,1,0,99.58847,0,114.35289,0,0,7,0,0,0,2641.0227,0.0,1093.0703
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,9,GRF,GRF_Minsung,MINSUNG,1208.151,byplayer,25,1,2,0,203.60225,0,31.278082,0,0,3,6,8,0,8930.878,0.0,942.38947
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,11,QDR,QDR_Renba,RENBA,1055.24,byplayer,17,2,2,0,186.99997,1,163.3635,0,0,4,5,2,0,5780.405,0.0,1067.5417
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,1,MCL,MCL_Cross,CROSS,1397.672,byplayer,2,4,0,3,590.3533,0,127.80351,0,2,4,3,3,0,2495.2256,0.0,1994.8186
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,1,MCL,MCL_Dumbo,DUMBO,1817.074,alive,4,3,1,1,410.1147,1,235.87039,0,0,3,6,3,0,4410.544,0.0,1361.7618
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,1,MCL,MCL_N1ke,N1KE,1817.074,alive,1,4,2,3,418.4088,0,71.79215,0,0,6,8,3,1,1679.1752,0.0,3503.7576
kr-bsc20,507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:08:57Z,Miramar,1817,1,MCL,MCL_Corn,CORN,1817.074,alive,3,3,0,3,340.74573,1,347.00577,0,0,3,6,4,1,1848.6423,0.0,2808.9663
