tournament_id,match_id,created_at,map_name,duration,team_rank,team_name,player_id,player_name,time_survived,death_type,kill_place,kills,dbnos,assists,damage_dealt,headshot_kills,longest_kill,road_kills,vehicle_destroys,weapons_acquired,boosts,heals,revives,ride_distance,swim_distance,walk_distance
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,14,AFK,AFK_Arden,ARDEN,1009.12,byplayer,68,0,0,0,0.0,0,0.0,0,0,4,4,12,0,7545.7954,0.0,1023.5563
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,2,GG,GG_Gramatic,GRAMATIC,1888.046,byplayer,2,6,2,0,462.44864,1,149.1689,0,0,4,13,1,0,2991.81,0.0,1997.3777
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,11,RSG,RSG_MISO,MISO,1184.998,byplayer,56,0,1,0,174.76016,0,0.0,0,0,4,2,3,0,2132.1287,0.0,1526.4458
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,11,RSG,RSG_Doris,DORIS,1027.093,byplayer,59,0,0,0,0.0,0,0.0,0,0,4,4,2,0,1233.818,0.0,733.5655
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,11,RSG,RSG_KK0BUK,KK0BUK,1032.279,byplayer,58,0,0,0,62.02589,0,0.0,0,0,4,1,0,0,706.4916,0.0,1323.708
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,11,RSG,RSG_lazy,LAZY,1182.674,byplayer,57,0,0,0,0.0,0,0.0,0,0,5,1,1,0,2143.6587,0.0,1449.9895
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,6,GZ,GZ_2mae,2MAE,1608.422,byplayer,47,0,0,2,342.88367,0,0.0,0,0,6,3,0,0,7376.9326,0.0,952.9408
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,6,GZ,GZ_Zed,ZED,642.042,byplayer,48,0,0,0,0.0,0,0.0,0,0,4,0,0,0,5296.107,0.0,554.01135
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,6,GZ,GZ_Sico,SICO,874.969,byplayer,20,1,2,0,204.95999,0,216.99835,0,0,3,0,0,0,5822.176,0.0,898.77673
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,6,GZ,GZ_DParis,DPARIS,1611.187,byplayer,19,1,1,1,374.13275,0,152.87422,0,0,4,7,6,0,6787.48,0.0,1013.04126
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,1,GE,GE_Laura,LAURA,1888.18,alive,7,2,3,3,328.93616,0,20.99625,0,0,2,1,0,0,8955.84,0.0,912.83374
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,1,GE,GE_JaeYoung,JAEYOUNG,1878.42,byzone,40,0,0,0,248.37727,0,0.0,0,0,3,11,11,0,7685.8213,0.0,1216.8433
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,1,GE,GE_ALyu,ALYU,978.486,byplayer,41,0,0,0,0.0,0,0.0,0,0,5,3,0,0,8298.206,0.0,644.6974
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,1,GE,GE_Geon,GEON,1872.086,byplayer,8,2,2,2,308.21622,0,195.51216,0,0,8,7,1,0,7805.6133,0.0,1106.9448
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,2,GG,GG_MotoK,MOTOK,1445.622,byplayer,5,3,3,1,200.41345,2,74.204185,0,0,5,4,0,1,4002.0918,0.0,1033.4761
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,3,NCT,NCT_HAMMER,HAMMER,1876.345,byplayer,1,7,2,1,739.2565,1,191.27904,0,2,3,7,14,0,4885.1055,0.0,1378.0203
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,3,NCT,NCT_CieL,CIEL,1578.107,byplayer,42,0,0,1,119.54206,0,0.0,0,0,5,4,6,1,2722.1929,0.0,1085.1606
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,3,NCT,NCT_karlie,KARLIE,1555.792,byplayer,17,1,1,0,154.86948,0,7.147528,0,0,6,4,1,0,3993.6213,0.0,1468.711
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,4,LW,LW_JG,JG,1746.621,byplayer,10,2,1,2,630.75323,1,153.47035,0,0,2,7,5,1,8105.7163,0.0,1260.6709
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,4,LW,LW_SSAK,SSAK,1832.539,byplayer,43,0,0,3,122.80722,0,0.0,0,0,7,5,7,0,8743.263,0.0,1274.6462
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,4,LW,LW_Hari,HARI,1584.597,byplayer,6,3,3,0,398.4862,0,372.8456,0,0,7,5,4,0,8289.298,0.0,1790.518
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,4,LW,LW_Royun,ROYUN,1734.454,byplayer,44,0,1,2,408.84192,0,0.0,0,0,4,6,8,0,8971.585,0.0,1015.54443
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,7,ELR,ELR_UNlimited,UNLIMITED,1549.195,byplayer,21,1,1,0,112.90766,0,189.93262,0,0,6,5,6,0,4495.6846,0.0,1312.3124
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10T08:57:06Z,Erangel (Remastered),1888,7,ELR,ELR_YUN,YUN,1460.684,byplayer,22,1,2,1,360.48355,1,92.031494,0,1,4,4,1,0,6026.6265,0.0,1848.9359
