player_id,killer_location_x,killer_location_y,victim,victim_location_x,victim_location_y,time,weapon_used,match_id,map_name,fin_duration,fin_time_survived,fin_death_type,fin_kill_place,fin_team_rank
APK_KIMGONI,362304.4688,412718.7813,ENT_Under,362051.2188,413052.4688,2020-05-09T12:44:43.219Z,WeapBerreta686_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,304.056,byplayer,21,3
GRF_Asura,372893.1875,403995.6563,DNW_CheongGak,372943.1563,403452.4063,2020-05-09T12:44:43.233Z,WeapHK416_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,103.508,byplayer,30,12
T1_Adder,357928.4688,399832.75,WNS_xBellka,358149.4375,399916.9375,2020-05-09T12:44:45.917Z,WeapThompson_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,100.329,byplayer,19,2
DNW_Rage,370934.875,405143.4375,GRF_Minsung,372038.75,401165.2813,2020-05-09T12:44:46.541Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,163.048,byplayer,15,15
FPC_Americano,363718.1563,413252.0625,ENT_indigo,363346.3438,413284.7813,2020-05-09T12:44:48.169Z,WeapM1911_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,182.465,byplayer,34,14
WCS_Piky,365110.625,416997.4375,FPC_Cross,365973.3125,416026.1875,2020-05-09T12:44:49.881Z,WeapThompson_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,177.236,byplayer,29,10
WCS_Hanya,367531.5625,416732.4688,FPC_YAYAVA,366074.3438,416026.6563,2020-05-09T12:44:50.334Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,396.834,byplayer,5,10
FPC_miha,360416.6875,412489.3438,ENT_kAyle,358869.4063,411538.875,2020-05-09T12:44:51.331Z,WeapUZI_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,96.003,byplayer,35,14
ENT_Seongjang,357836.4688,411213.125,FPC_miha,359997.0313,412179.0625,2020-05-09T12:44:53.736Z,WeapHK416_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,362.5,byplayer,12,11
WCS_Hanya,367568.2813,416758.1563,APK_Rain1ng,365792.9063,415913.9063,2020-05-09T12:44:53.993Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,396.834,byplayer,5,10
GRF_Minsung,372300.7813,401114.5625,DNW_Raeng,371967.3438,401283.5,2020-05-09T12:44:56.215Z,PlayerFemale_A_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,88.808,byplayer,31,12
WNS_FLUX,359484.875,400243.625,T1_Adder,359259.5938,399986.8438,2020-05-09T12:44:58.062Z,WeapUZI_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,104.419,byplayer,36,16
DNW_Rage,372893.625,403894.3438,GRF_Asura,373291.9063,403765.3438,2020-05-09T12:45:01.241Z,WeapSCAR-L_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,163.048,byplayer,15,15
T1_JeffLocka,358861.3438,400292.6563,WNS_FLUX,359080.875,400154.125,2020-05-09T12:45:02.152Z,WeapBizonPP19_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,822.206,byzone,7,2
T1_Rex,358394.4375,401390.125,WNS_UNnamde,356707.875,398377.8438,2020-05-09T12:45:03.809Z,PlayerFemale_A_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,841.206,byzone,6,2
T1_Rex,358346.2188,401429.5,WNS_Hyeok,355357.125,398221.3125,2020-05-09T12:45:03.815Z,WeapBizonPP19_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,841.206,byzone,6,2
AF_Shadow,398206.5938,356518.875,STA_YunJong,397271.3438,355138.0,2020-05-09T12:45:05.058Z,WeapUMP_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,142.89,byplayer,33,13
AF_Daengchae,372689.7813,362598.3438,DWG_CRIS,370722.0625,361857.9063,2020-05-09T12:45:10.086Z,WeapM16A4_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,267.058,byplayer,14,13
GRF_2tap,371561.75,400888.3438,DNW_DG98,371878.3125,401573.2813,2020-05-09T12:45:13.411Z,WeapAK47_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,181.428,byplayer,13,12
AF_NN,396176.6563,355704.75,STA_Piaz,395219.4688,356071.6875,2020-05-09T12:45:31.955Z,WeapUMP_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,171.161,byplayer,32,13
STA_Piaz,395225.5625,356100.5,AF_Shadow,396105.625,355664.1563,2020-05-09T12:45:40.623Z,WeapVSS_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,134.222,byplayer,27,9
GRF_2tap,374219.1875,403743.4688,DNW_Rage,373635.625,404453.625,2020-05-09T12:46:00.781Z,WeapAK47_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,181.428,byplayer,13,12
STA_Hwarang,394532.4688,357576.0625,AF_NN,395626.7188,358141.4063,2020-05-09T12:46:08.894Z,WeapUMP_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,427.859,byplayer,11,9
DWG_Corn,368196.7188,361127.1875,AF_R0wha,368920.3125,359955.9375,2020-05-09T12:46:10.732Z,WeapAK47_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,211.101,byplayer,26,8
APK_Hwan2da,366231.6563,415941.0313,WCS_Piky,365120.625,417006.0,2020-05-09T12:46:14.969Z,PlayerFemale_A_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,304.314,byplayer,20,3
OPGG_Silky,372963.4688,400089.5,GRF_2tap,373889.0313,400132.1563,2020-05-09T12:46:19.161Z,WeapUZI_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,428.185,byplayer,4,5
APK_NEFiEX,364092.0313,413798.4688,FPC_Americano,363726.3438,413782.7813,2020-05-09T12:46:20.198Z,WeapThompson_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,919.273,byplayer,2,3
AF_Daengchae,369139.3125,359922.2188,DWG_Corn,368190.0625,360931.3438,2020-05-09T12:46:48.834Z,WeapSCAR-L_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,267.058,byplayer,14,13
VSG_Hulk,364527.0625,366843.8438,AF_Daengchae,369560.7813,362416.3438,2020-05-09T12:47:44.791Z,WeapHK416_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,513.649,byplayer,10,6
STA_Hwarang,404588.875,370050.7813,VLG_Spear,405216.4375,372651.0625,2020-05-09T12:48:11.574Z,WeapSCAR-L_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,427.859,byplayer,11,9
WCS_EEND,368384.9063,416638.5,APK_KIMGONI,367992.6563,416800.4375,2020-05-09T12:48:21.789Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,396.839,byplayer,28,10
WCS_Hanya,368654.1875,416652.0625,APK_Hwan2da,367830.9063,417128.9063,2020-05-09T12:48:22.047Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,396.834,byplayer,5,10
VLG_Hikari,396012.7813,348482.0625,STA_Jungdong,395866.6563,348364.7188,2020-05-09T12:48:24.727Z,WeapBerylM762_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,681.138,byplayer,23,4
OPGG_Silky,372887.9375,403686.0625,GRF_2heart,373673.8438,403561.4375,2020-05-09T12:48:38.290Z,WeapUZI_C,59ade283-0d45-49fc-8fd1-38f97289be81,Baltic_Main,1562,428.185,byplayer,4,5
